see also https://docs.google.com/spreadsheets/d/1_BZ_SouEY-6ln08K1aY_6xZpwOKsXZPhQfntaYoMFww/edit#gid=1414936906
experience is something that takes time/money;
accomplishment is something for which I must train
goal,date added,tags,note,

Jump off a 10m diving platform,2018,accomplishment,"this is about overcoming fears; adreniline rush
refer to https://notesee.lilplaytime.com/general/goal-10m-diving-board.md for locations",
Drive through a redwood tree (experience),,,- (Avenue of the Giants) 4.5 hours north of SJ,
Use travel rewards for one trip in the next year,2021,,,
Spelunking,,experience,(at moaning caverns) 3hrs E of san jose ($80/person w/o rappel),http://www.caverntours.com/MoCavRt.htm
"Climb at Copenhill, Denmark",2023,experience,,
roll with maryjane,2018,experience,"conflicting pros and cons.
It is not addictive. But worried I may. Ok for lungs like red wine for heart.
But still wonder about health effects
tried edible and felt paranoid",
Take the kid's tent camping in the forest,2010,experience,"see 
https://notesee.lilplaytime.com/general/camp-sites.md",https://notesee.lilplaytime.com/general/camping.md
Send a note to someone who inspires you,2010,,Let him/her know how much he/she has inspired you (accomplishment),

"Ride a wave-runner, again",2010,experience,,
Plant a tree in a forest,2010,accomplishment,Can tie in to Volunteer goal,
Go fly fishing,2010,experience,,
Take a train trip,2010,experience,https://notesee.lilplaytime.com/general/bucket-train-trip.md,
Go whale watching,2010,"experience, watch",50%; kinda saw a whale on Alaska trip,
sleep in a hanging bivy,2023,experience,prerequisite is advanced rock climbing/ mounaineering,
Goat Yoga,2020-10,animals,seen in Texas; https://sfbay.goatyoga.net/,

ride an elephant,2021-01,animals,,
ride a camel,2021-01,"animals, watch",specifically in the Sahara Desert,
see fireflies,2021-01,"animals, watch",,
swim w/ manatees,,"animals, watch",,
Swim with Sharks,2021-05,"animals, adreniline",,

hike JMT,2021-01,hike,target for 2027-08; 20 days (215 mi),
"Walk the Camino de Santiago from FR to Santiago, ES",2021-03,hike,30 days ( 500 miles),
"Hike El Caminito Del Rey near Ardales, Spain",2021-05,hike,,
"Hike Highline, UT",2021-05,hike,,
Hike Appalacian trail,2021-03,hike,4 months,
"Walk amid the Great Sequoias, Sierra Nevada, California",2021-05,hike,,
Hike half dome,2021-05,hike,,
"Hike Stuart Fork trail (Redwood, CA)",2021-05,hike,,https://www.alltrails.com/trail/us/california/stuart-fork-trail-to-emerald-and-sapphire-lakes

visit 3 of 7 wonders,2021-01,,https://docs.google.com/spreadsheets/d/1_BZ_SouEY-6ln08K1aY_6xZpwOKsXZPhQfntaYoMFww/edit#gid=954906863,

fly first class,2021-01,,,
See the Northern Lights,2021-05,watch,,
Watch a Meteor Shower live,2021-02,watch,,
meet my idol ,2021-01,,(who?); went to Bruce Lee's grave; JL Collins?,
connect with a  past teacher,2021-01,,,

go to a film festival,2021-01,watch,,
Attend the Olympics or a global sporting event,2021-01,watch,,
attend a chataqua ,2021-01,watch,($3k),
attend a rodeo,2021-04,"animals, watch",,
use a full season of a ski resort,2021-01,, ($1500@squaw/alpine); or perhaps smaller target of (min x7?) visits ,
"Rubber Tramp Rendezvous in Quartzsite, AZ",2021-03,watch,,
Go to a NASCAR Event,2021-05,watch,,
Go to a Professional Rugby Match in a Foreign Country (new zealand),2021-05,watch,,
"white marlin open in august at Ocean City, Maryland",2022-03,experience,,

visit a distillery,2021-01,experience,,
visit a castle,2021-01,experience,,
stay at a Sandals (all inclusive resort,2021-06,experience,,

eat kangaroo,2021-05,animals,,
eat rattlesnake,2021-05,animals,,
eat buffalo steak,2021-04,animals,,

Go outdoor rock climbing ,2020-11,adreniline,,
paragliding,,,with parachute; see https://notesee.lilplaytime.com/general/paragliding.md,
help someone build a house,2021-02,gift,From the buried life - tier 1,
pay for someone's groceries,2021-02,gift,From the buried life - tier 1,
give a stranger a $100 bill,2021-02,gift,From the buried life - tier 1,
volunteer on the wild horse sanctuary in South Dakota,2021-03,gift,,
Spend a night in a penthouse suite,2017,,,
Learn to Scuba dive,2017,learn,,
drive across america,2021-02,,From the buried life - tier 1; specifically Drive Route 66,
paint a mural,2021-02,,From the buried life - tier 1,
RIDE THROUGH THe DESERT in A DUNE-BUGGY,2021-02,,From the buried life - tier 1,
Hang 10 while surfing,2019-01,learn,requires a level of proficiency,
send a message in a bottle,2021-02,,From the buried life - tier 1,
Learn how to sail,2021-02,learn,From the buried life - tier 1,
experience zero gravity,2021-02,adreniline,From the buried life - tier 1; ($7k),
WIN AND yELL BINGO. AT A BINGO HALL,2021-02,,From the buried life - tier 1,
kick a field goal-- at an nfl stadium,2021-02,,From the buried life - tier 1,

Ride a Kiteboard or AeroFoil,2021-05,learn,,
Ride a Mechanical Bull,2021-05,adreniline,,
Vacation in a TreeHouse,2021-05,,,
cable wake boarding,2022-12,adreniline,$40 / 2 hours; https://www.velocityislandpark.com/the-park/wakeboard-park/,http://uscablewakeparks.com/interactive_google_map_world_wide_cable_wake_parks.html

Go on a South African Safari,2021-05,animals,,
Go on an Eco-Adventure in Costa Rica,2021-05,,,

Celebrate St. Patrick’s Day in Ireland,2021-05,,,
Drink Port Wine in Portugal,2021-05,,,
"trees of mystery (Klamath, CA)",2021-05,,$20/person,https://www.tripadvisor.com/Attraction_Review-g32564-d116857-Reviews-Trees_of_Mystery-Klamath_California.html





Learn to play an instrument (piano),2010,"learn, self",started piano 2021-05,
become conversational in a language,2017-01,learn,tried Vietnamese (01/2017); will try spanish,

hikes ,,,https://www.backpacker.com/trips/20-bucket-list-hiking-trips-to-take-in-2020#gid=ci025a6488a000265a&pid=2020-trips-4,
